"hex_id","period_50yr","total_buildings","risk_buildings","risk_share","map_category"
271,"1925-1974",NA,NA,NA,"No building data"
271,"1975-2025",NA,NA,NA,"No building data"
282,"1925-1974",NA,NA,NA,"No building data"
282,"1975-2025",NA,NA,NA,"No building data"
283,"1925-1974",NA,NA,NA,"No building data"
283,"1975-2025",NA,NA,NA,"No building data"
284,"1925-1974",1,0,0,"0%"
284,"1975-2025",2,0,0,"0%"
285,"1925-1974",1,0,0,"0%"
285,"1975-2025",NA,NA,NA,"No building data"
286,"1925-1974",NA,NA,NA,"No building data"
286,"1975-2025",NA,NA,NA,"No building data"
287,"1925-1974",NA,NA,NA,"No building data"
287,"1975-2025",NA,NA,NA,"No building data"
288,"1925-1974",NA,NA,NA,"No building data"
288,"1975-2025",NA,NA,NA,"No building data"
290,"1925-1974",1,0,0,"0%"
290,"1975-2025",NA,NA,NA,"No building data"
291,"1925-1974",NA,NA,NA,"No building data"
291,"1975-2025",1,0,0,"0%"
302,"1925-1974",NA,NA,NA,"No building data"
302,"1975-2025",NA,NA,NA,"No building data"
303,"1925-1974",NA,NA,NA,"No building data"
303,"1975-2025",1,0,0,"0%"
304,"1925-1974",NA,NA,NA,"No building data"
304,"1975-2025",NA,NA,NA,"No building data"
305,"1925-1974",NA,NA,NA,"No building data"
305,"1975-2025",NA,NA,NA,"No building data"
306,"1925-1974",NA,NA,NA,"No building data"
306,"1975-2025",NA,NA,NA,"No building data"
307,"1925-1974",NA,NA,NA,"No building data"
307,"1975-2025",1,0,0,"0%"
308,"1925-1974",1,0,0,"0%"
308,"1975-2025",NA,NA,NA,"No building data"
309,"1925-1974",NA,NA,NA,"No building data"
309,"1975-2025",NA,NA,NA,"No building data"
310,"1925-1974",NA,NA,NA,"No building data"
310,"1975-2025",NA,NA,NA,"No building data"
311,"1925-1974",2,0,0,"0%"
311,"1975-2025",3,0,0,"0%"
321,"1925-1974",NA,NA,NA,"No building data"
321,"1975-2025",NA,NA,NA,"No building data"
322,"1925-1974",NA,NA,NA,"No building data"
322,"1975-2025",NA,NA,NA,"No building data"
323,"1925-1974",NA,NA,NA,"No building data"
323,"1975-2025",NA,NA,NA,"No building data"
324,"1925-1974",1,0,0,"0%"
324,"1975-2025",NA,NA,NA,"No building data"
325,"1925-1974",1,0,0,"0%"
325,"1975-2025",1,0,0,"0%"
326,"1925-1974",1,0,0,"0%"
326,"1975-2025",NA,NA,NA,"No building data"
327,"1925-1974",NA,NA,NA,"No building data"
327,"1975-2025",1,0,0,"0%"
328,"1925-1974",NA,NA,NA,"No building data"
328,"1975-2025",NA,NA,NA,"No building data"
329,"1925-1974",NA,NA,NA,"No building data"
329,"1975-2025",4,0,0,"0%"
330,"1925-1974",3,0,0,"0%"
330,"1975-2025",NA,NA,NA,"No building data"
331,"1925-1974",1,0,0,"0%"
331,"1975-2025",NA,NA,NA,"No building data"
342,"1925-1974",NA,NA,NA,"No building data"
342,"1975-2025",NA,NA,NA,"No building data"
343,"1925-1974",NA,NA,NA,"No building data"
343,"1975-2025",1,0,0,"0%"
344,"1925-1974",NA,NA,NA,"No building data"
344,"1975-2025",NA,NA,NA,"No building data"
345,"1925-1974",NA,NA,NA,"No building data"
345,"1975-2025",NA,NA,NA,"No building data"
346,"1925-1974",7,0,0,"0%"
346,"1975-2025",51,0,0,"0%"
347,"1925-1974",1,0,0,"0%"
347,"1975-2025",NA,NA,NA,"No building data"
348,"1925-1974",NA,NA,NA,"No building data"
348,"1975-2025",NA,NA,NA,"No building data"
349,"1925-1974",NA,NA,NA,"No building data"
349,"1975-2025",NA,NA,NA,"No building data"
350,"1925-1974",4,0,0,"0%"
350,"1975-2025",67,0,0,"0%"
351,"1925-1974",6,0,0,"0%"
351,"1975-2025",2,0,0,"0%"
361,"1925-1974",NA,NA,NA,"No building data"
361,"1975-2025",NA,NA,NA,"No building data"
362,"1925-1974",NA,NA,NA,"No building data"
362,"1975-2025",NA,NA,NA,"No building data"
363,"1925-1974",1,0,0,"0%"
363,"1975-2025",1,0,0,"0%"
364,"1925-1974",1,0,0,"0%"
364,"1975-2025",2,0,0,"0%"
365,"1925-1974",NA,NA,NA,"No building data"
365,"1975-2025",NA,NA,NA,"No building data"
366,"1925-1974",125,0,0,"0%"
366,"1975-2025",28,0,0,"0%"
367,"1925-1974",NA,NA,NA,"No building data"
367,"1975-2025",2,0,0,"0%"
368,"1925-1974",NA,NA,NA,"No building data"
368,"1975-2025",1,0,0,"0%"
369,"1925-1974",17,0,0,"0%"
369,"1975-2025",12,0,0,"0%"
370,"1925-1974",1,0,0,"0%"
370,"1975-2025",3,0,0,"0%"
371,"1925-1974",NA,NA,NA,"No building data"
371,"1975-2025",NA,NA,NA,"No building data"
382,"1925-1974",NA,NA,NA,"No building data"
382,"1975-2025",NA,NA,NA,"No building data"
383,"1925-1974",NA,NA,NA,"No building data"
383,"1975-2025",NA,NA,NA,"No building data"
384,"1925-1974",2,0,0,"0%"
384,"1975-2025",NA,NA,NA,"No building data"
385,"1925-1974",2,0,0,"0%"
385,"1975-2025",4,0,0,"0%"
386,"1925-1974",NA,NA,NA,"No building data"
386,"1975-2025",1,0,0,"0%"
387,"1925-1974",1,0,0,"0%"
387,"1975-2025",1,0,0,"0%"
388,"1925-1974",NA,NA,NA,"No building data"
388,"1975-2025",1,0,0,"0%"
389,"1925-1974",NA,NA,NA,"No building data"
389,"1975-2025",1,0,0,"0%"
390,"1925-1974",5,0,0,"0%"
390,"1975-2025",108,0,0,"0%"
391,"1925-1974",1,0,0,"0%"
391,"1975-2025",NA,NA,NA,"No building data"
392,"1925-1974",NA,NA,NA,"No building data"
392,"1975-2025",NA,NA,NA,"No building data"
402,"1925-1974",NA,NA,NA,"No building data"
402,"1975-2025",NA,NA,NA,"No building data"
403,"1925-1974",1,0,0,"0%"
403,"1975-2025",NA,NA,NA,"No building data"
404,"1925-1974",NA,NA,NA,"No building data"
404,"1975-2025",NA,NA,NA,"No building data"
405,"1925-1974",NA,NA,NA,"No building data"
405,"1975-2025",NA,NA,NA,"No building data"
406,"1925-1974",1,0,0,"0%"
406,"1975-2025",17,0,0,"0%"
407,"1925-1974",NA,NA,NA,"No building data"
407,"1975-2025",NA,NA,NA,"No building data"
408,"1925-1974",NA,NA,NA,"No building data"
408,"1975-2025",1,0,0,"0%"
409,"1925-1974",4,0,0,"0%"
409,"1975-2025",12,0,0,"0%"
410,"1925-1974",5,0,0,"0%"
410,"1975-2025",4,0,0,"0%"
411,"1925-1974",2,0,0,"0%"
411,"1975-2025",NA,NA,NA,"No building data"
412,"1925-1974",NA,NA,NA,"No building data"
412,"1975-2025",NA,NA,NA,"No building data"
423,"1925-1974",NA,NA,NA,"No building data"
423,"1975-2025",NA,NA,NA,"No building data"
424,"1925-1974",NA,NA,NA,"No building data"
424,"1975-2025",NA,NA,NA,"No building data"
425,"1925-1974",NA,NA,NA,"No building data"
425,"1975-2025",NA,NA,NA,"No building data"
426,"1925-1974",5,0,0,"0%"
426,"1975-2025",NA,NA,NA,"No building data"
427,"1925-1974",NA,NA,NA,"No building data"
427,"1975-2025",NA,NA,NA,"No building data"
428,"1925-1974",3,0,0,"0%"
428,"1975-2025",12,0,0,"0%"
429,"1925-1974",1,0,0,"0%"
429,"1975-2025",NA,NA,NA,"No building data"
430,"1925-1974",61,0,0,"0%"
430,"1975-2025",84,0,0,"0%"
431,"1925-1974",2,0,0,"0%"
431,"1975-2025",3,0,0,"0%"
432,"1925-1974",1,0,0,"0%"
432,"1975-2025",1,0,0,"0%"
442,"1925-1974",NA,NA,NA,"No building data"
442,"1975-2025",NA,NA,NA,"No building data"
443,"1925-1974",NA,NA,NA,"No building data"
443,"1975-2025",1,0,0,"0%"
444,"1925-1974",1,0,0,"0%"
444,"1975-2025",2,0,0,"0%"
445,"1925-1974",1,0,0,"0%"
445,"1975-2025",NA,NA,NA,"No building data"
446,"1925-1974",1,0,0,"0%"
446,"1975-2025",1,0,0,"0%"
447,"1925-1974",2,0,0,"0%"
447,"1975-2025",6,0,0,"0%"
448,"1925-1974",40,0,0,"0%"
448,"1975-2025",8,0,0,"0%"
449,"1925-1974",NA,NA,NA,"No building data"
449,"1975-2025",NA,NA,NA,"No building data"
450,"1925-1974",49,0,0,"0%"
450,"1975-2025",6,0,0,"0%"
451,"1925-1974",NA,NA,NA,"No building data"
451,"1975-2025",NA,NA,NA,"No building data"
452,"1925-1974",NA,NA,NA,"No building data"
452,"1975-2025",NA,NA,NA,"No building data"
463,"1925-1974",NA,NA,NA,"No building data"
463,"1975-2025",1,0,0,"0%"
464,"1925-1974",NA,NA,NA,"No building data"
464,"1975-2025",NA,NA,NA,"No building data"
465,"1925-1974",NA,NA,NA,"No building data"
465,"1975-2025",NA,NA,NA,"No building data"
466,"1925-1974",NA,NA,NA,"No building data"
466,"1975-2025",NA,NA,NA,"No building data"
467,"1925-1974",1,0,0,"0%"
467,"1975-2025",2,0,0,"0%"
468,"1925-1974",20,0,0,"0%"
468,"1975-2025",22,0,0,"0%"
469,"1925-1974",NA,NA,NA,"No building data"
469,"1975-2025",NA,NA,NA,"No building data"
470,"1925-1974",164,0,0,"0%"
470,"1975-2025",5,0,0,"0%"
471,"1925-1974",NA,NA,NA,"No building data"
471,"1975-2025",NA,NA,NA,"No building data"
472,"1925-1974",4,0,0,"0%"
472,"1975-2025",NA,NA,NA,"No building data"
473,"1925-1974",NA,NA,NA,"No building data"
473,"1975-2025",NA,NA,NA,"No building data"
483,"1925-1974",1,0,0,"0%"
483,"1975-2025",1,0,0,"0%"
484,"1925-1974",NA,NA,NA,"No building data"
484,"1975-2025",NA,NA,NA,"No building data"
485,"1925-1974",NA,NA,NA,"No building data"
485,"1975-2025",NA,NA,NA,"No building data"
486,"1925-1974",NA,NA,NA,"No building data"
486,"1975-2025",NA,NA,NA,"No building data"
487,"1925-1974",2,0,0,"0%"
487,"1975-2025",NA,NA,NA,"No building data"
488,"1925-1974",NA,NA,NA,"No building data"
488,"1975-2025",13,0,0,"0%"
489,"1925-1974",3,0,0,"0%"
489,"1975-2025",NA,NA,NA,"No building data"
490,"1925-1974",1,0,0,"0%"
490,"1975-2025",1,0,0,"0%"
491,"1925-1974",NA,NA,NA,"No building data"
491,"1975-2025",1,0,0,"0%"
492,"1925-1974",NA,NA,NA,"No building data"
492,"1975-2025",2,0,0,"0%"
493,"1925-1974",NA,NA,NA,"No building data"
493,"1975-2025",NA,NA,NA,"No building data"
503,"1925-1974",1,0,0,"0%"
503,"1975-2025",NA,NA,NA,"No building data"
504,"1925-1974",2,0,0,"0%"
504,"1975-2025",1,0,0,"0%"
505,"1925-1974",NA,NA,NA,"No building data"
505,"1975-2025",NA,NA,NA,"No building data"
506,"1925-1974",4,0,0,"0%"
506,"1975-2025",NA,NA,NA,"No building data"
507,"1925-1974",1,0,0,"0%"
507,"1975-2025",NA,NA,NA,"No building data"
508,"1925-1974",NA,NA,NA,"No building data"
508,"1975-2025",2,0,0,"0%"
509,"1925-1974",NA,NA,NA,"No building data"
509,"1975-2025",3,0,0,"0%"
510,"1925-1974",54,0,0,"0%"
510,"1975-2025",3,0,0,"0%"
511,"1925-1974",2,0,0,"0%"
511,"1975-2025",NA,NA,NA,"No building data"
512,"1925-1974",1,0,0,"0%"
512,"1975-2025",2,0,0,"0%"
513,"1925-1974",NA,NA,NA,"No building data"
513,"1975-2025",NA,NA,NA,"No building data"
523,"1925-1974",2,0,0,"0%"
523,"1975-2025",1,0,0,"0%"
524,"1925-1974",1,0,0,"0%"
524,"1975-2025",NA,NA,NA,"No building data"
525,"1925-1974",4,0,0,"0%"
525,"1975-2025",1,0,0,"0%"
526,"1925-1974",1,0,0,"0%"
526,"1975-2025",NA,NA,NA,"No building data"
527,"1925-1974",NA,NA,NA,"No building data"
527,"1975-2025",1,0,0,"0%"
528,"1925-1974",21,0,0,"0%"
528,"1975-2025",7,0,0,"0%"
529,"1925-1974",NA,NA,NA,"No building data"
529,"1975-2025",NA,NA,NA,"No building data"
530,"1925-1974",1,0,0,"0%"
530,"1975-2025",2,0,0,"0%"
531,"1925-1974",NA,NA,NA,"No building data"
531,"1975-2025",NA,NA,NA,"No building data"
532,"1925-1974",NA,NA,NA,"No building data"
532,"1975-2025",NA,NA,NA,"No building data"
533,"1925-1974",NA,NA,NA,"No building data"
533,"1975-2025",NA,NA,NA,"No building data"
543,"1925-1974",2,0,0,"0%"
543,"1975-2025",NA,NA,NA,"No building data"
544,"1925-1974",1,0,0,"0%"
544,"1975-2025",NA,NA,NA,"No building data"
545,"1925-1974",1,0,0,"0%"
545,"1975-2025",34,0,0,"0%"
546,"1925-1974",NA,NA,NA,"No building data"
546,"1975-2025",NA,NA,NA,"No building data"
547,"1925-1974",NA,NA,NA,"No building data"
547,"1975-2025",1,0,0,"0%"
548,"1925-1974",NA,NA,NA,"No building data"
548,"1975-2025",1,0,0,"0%"
549,"1925-1974",4,0,0,"0%"
549,"1975-2025",2,0,0,"0%"
550,"1925-1974",NA,NA,NA,"No building data"
550,"1975-2025",NA,NA,NA,"No building data"
551,"1925-1974",NA,NA,NA,"No building data"
551,"1975-2025",54,0,0,"0%"
552,"1925-1974",11,0,0,"0%"
552,"1975-2025",NA,NA,NA,"No building data"
553,"1925-1974",NA,NA,NA,"No building data"
553,"1975-2025",1,0,0,"0%"
554,"1925-1974",NA,NA,NA,"No building data"
554,"1975-2025",NA,NA,NA,"No building data"
555,"1925-1974",NA,NA,NA,"No building data"
555,"1975-2025",NA,NA,NA,"No building data"
556,"1925-1974",NA,NA,NA,"No building data"
556,"1975-2025",NA,NA,NA,"No building data"
562,"1925-1974",NA,NA,NA,"No building data"
562,"1975-2025",2,0,0,"0%"
563,"1925-1974",7,0,0,"0%"
563,"1975-2025",1,0,0,"0%"
564,"1925-1974",1,0,0,"0%"
564,"1975-2025",1,0,0,"0%"
565,"1925-1974",3,0,0,"0%"
565,"1975-2025",13,0,0,"0%"
566,"1925-1974",1,0,0,"0%"
566,"1975-2025",1,0,0,"0%"
567,"1925-1974",1,0,0,"0%"
567,"1975-2025",2,0,0,"0%"
568,"1925-1974",6,0,0,"0%"
568,"1975-2025",2,0,0,"0%"
569,"1925-1974",NA,NA,NA,"No building data"
569,"1975-2025",NA,NA,NA,"No building data"
570,"1925-1974",3,0,0,"0%"
570,"1975-2025",31,0,0,"0%"
571,"1925-1974",1,0,0,"0%"
571,"1975-2025",59,0,0,"0%"
572,"1925-1974",1,0,0,"0%"
572,"1975-2025",NA,NA,NA,"No building data"
573,"1925-1974",1,0,0,"0%"
573,"1975-2025",NA,NA,NA,"No building data"
574,"1925-1974",1,0,0,"0%"
574,"1975-2025",NA,NA,NA,"No building data"
575,"1925-1974",NA,NA,NA,"No building data"
575,"1975-2025",NA,NA,NA,"No building data"
576,"1925-1974",NA,NA,NA,"No building data"
576,"1975-2025",NA,NA,NA,"No building data"
583,"1925-1974",NA,NA,NA,"No building data"
583,"1975-2025",NA,NA,NA,"No building data"
584,"1925-1974",1,0,0,"0%"
584,"1975-2025",2,0,0,"0%"
585,"1925-1974",103,0,0,"0%"
585,"1975-2025",61,0,0,"0%"
586,"1925-1974",2,0,0,"0%"
586,"1975-2025",NA,NA,NA,"No building data"
587,"1925-1974",2,0,0,"0%"
587,"1975-2025",NA,NA,NA,"No building data"
588,"1925-1974",NA,NA,NA,"No building data"
588,"1975-2025",1,0,0,"0%"
589,"1925-1974",41,0,0,"0%"
589,"1975-2025",NA,NA,NA,"No building data"
590,"1925-1974",114,35,30.7017543859649,"More than 0%"
590,"1975-2025",15,5,33.3333333333333,"More than 0%"
591,"1925-1974",31,0,0,"0%"
591,"1975-2025",189,0,0,"0%"
592,"1925-1974",1,0,0,"0%"
592,"1975-2025",NA,NA,NA,"No building data"
593,"1925-1974",6,0,0,"0%"
593,"1975-2025",NA,NA,NA,"No building data"
594,"1925-1974",NA,NA,NA,"No building data"
594,"1975-2025",1,0,0,"0%"
595,"1925-1974",6,0,0,"0%"
595,"1975-2025",4,0,0,"0%"
596,"1925-1974",NA,NA,NA,"No building data"
596,"1975-2025",NA,NA,NA,"No building data"
597,"1925-1974",NA,NA,NA,"No building data"
597,"1975-2025",NA,NA,NA,"No building data"
603,"1925-1974",NA,NA,NA,"No building data"
603,"1975-2025",NA,NA,NA,"No building data"
604,"1925-1974",3,0,0,"0%"
604,"1975-2025",NA,NA,NA,"No building data"
605,"1925-1974",2,0,0,"0%"
605,"1975-2025",1,0,0,"0%"
606,"1925-1974",5,0,0,"0%"
606,"1975-2025",2,0,0,"0%"
607,"1925-1974",1,0,0,"0%"
607,"1975-2025",1,0,0,"0%"
608,"1925-1974",161,0,0,"0%"
608,"1975-2025",2,0,0,"0%"
609,"1925-1974",NA,NA,NA,"No building data"
609,"1975-2025",NA,NA,NA,"No building data"
610,"1925-1974",98,12,12.2448979591837,"More than 0%"
610,"1975-2025",50,0,0,"0%"
611,"1925-1974",15,0,0,"0%"
611,"1975-2025",126,0,0,"0%"
612,"1925-1974",6,0,0,"0%"
612,"1975-2025",4,0,0,"0%"
613,"1925-1974",NA,NA,NA,"No building data"
613,"1975-2025",NA,NA,NA,"No building data"
614,"1925-1974",NA,NA,NA,"No building data"
614,"1975-2025",NA,NA,NA,"No building data"
615,"1925-1974",3,0,0,"0%"
615,"1975-2025",1,0,0,"0%"
616,"1925-1974",2,0,0,"0%"
616,"1975-2025",1,0,0,"0%"
617,"1925-1974",NA,NA,NA,"No building data"
617,"1975-2025",NA,NA,NA,"No building data"
624,"1925-1974",1,0,0,"0%"
624,"1975-2025",NA,NA,NA,"No building data"
625,"1925-1974",12,0,0,"0%"
625,"1975-2025",2,0,0,"0%"
626,"1925-1974",26,0,0,"0%"
626,"1975-2025",NA,NA,NA,"No building data"
627,"1925-1974",2,0,0,"0%"
627,"1975-2025",NA,NA,NA,"No building data"
628,"1925-1974",1,0,0,"0%"
628,"1975-2025",1,0,0,"0%"
629,"1925-1974",69,0,0,"0%"
629,"1975-2025",7,3,42.8571428571429,"More than 0%"
630,"1925-1974",27,26,96.2962962962963,"More than 0%"
630,"1975-2025",4,4,100,"More than 0%"
631,"1925-1974",325,0,0,"0%"
631,"1975-2025",14,0,0,"0%"
632,"1925-1974",3,0,0,"0%"
632,"1975-2025",22,0,0,"0%"
633,"1925-1974",1,0,0,"0%"
633,"1975-2025",NA,NA,NA,"No building data"
634,"1925-1974",NA,NA,NA,"No building data"
634,"1975-2025",NA,NA,NA,"No building data"
635,"1925-1974",NA,NA,NA,"No building data"
635,"1975-2025",2,0,0,"0%"
636,"1925-1974",NA,NA,NA,"No building data"
636,"1975-2025",NA,NA,NA,"No building data"
637,"1925-1974",4,0,0,"0%"
637,"1975-2025",1,0,0,"0%"
638,"1925-1974",NA,NA,NA,"No building data"
638,"1975-2025",NA,NA,NA,"No building data"
643,"1925-1974",NA,NA,NA,"No building data"
643,"1975-2025",NA,NA,NA,"No building data"
644,"1925-1974",NA,NA,NA,"No building data"
644,"1975-2025",NA,NA,NA,"No building data"
645,"1925-1974",NA,NA,NA,"No building data"
645,"1975-2025",NA,NA,NA,"No building data"
646,"1925-1974",13,0,0,"0%"
646,"1975-2025",NA,NA,NA,"No building data"
647,"1925-1974",2,0,0,"0%"
647,"1975-2025",1,0,0,"0%"
648,"1925-1974",311,0,0,"0%"
648,"1975-2025",14,0,0,"0%"
649,"1925-1974",8,0,0,"0%"
649,"1975-2025",6,1,16.6666666666667,"More than 0%"
650,"1925-1974",101,20,19.8019801980198,"More than 0%"
650,"1975-2025",19,4,21.0526315789474,"More than 0%"
651,"1925-1974",67,0,0,"0%"
651,"1975-2025",85,0,0,"0%"
652,"1925-1974",9,0,0,"0%"
652,"1975-2025",3,0,0,"0%"
653,"1925-1974",NA,NA,NA,"No building data"
653,"1975-2025",NA,NA,NA,"No building data"
654,"1925-1974",2,0,0,"0%"
654,"1975-2025",1,0,0,"0%"
655,"1925-1974",NA,NA,NA,"No building data"
655,"1975-2025",NA,NA,NA,"No building data"
656,"1925-1974",NA,NA,NA,"No building data"
656,"1975-2025",NA,NA,NA,"No building data"
657,"1925-1974",2,0,0,"0%"
657,"1975-2025",NA,NA,NA,"No building data"
658,"1925-1974",NA,NA,NA,"No building data"
658,"1975-2025",NA,NA,NA,"No building data"
